PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
791,6.1.3.1.1,5,carte?,,,Double standard,15,,,0,https://fr.wikipedia.org/wiki/Double_standard,,Votre argument suppose deux normes fondamentales auxquelles faire référence selon le besoin? ,93,,0,(interrompant un femme): Oui le droit des femmes à s'exprimer est particulièrement important. ,94,,,,"Quod licet Iovi, non licet bovi : ce qui est permis à Jupiter ne l'est pas aux vaches",,,faites ce que je ds pas ce que je fais. ,,,circle,,,
792,6.1.3.1.1.1,6,ok,1,,Plaidoirie spéciale,19,,Special pleading,16,,https://en.wikipedia.org/wiki/Special_pleading,Vous prétendez faire exception à une règle générale sans raison valable.,72,Attempting to cite something as an exception to the rule without justifying the exception.,90,Je suis contre toute forme de violence envers les enfants ; mais celui-là mériterait tout de même un bon coup de pied aux fesses.,129,"I disagree with violence against children, but this one needs a good smack in the face.",87,,,,,deux poids deux mesures XXXnon ça c'est double standards.,,,circle,entre ange et démon,,
793,6.1.3.1.1.1.1,7,,,,Demande d'exemption,19,,,0,http://www.ditext.com/fearnside/33.html,,Votre argument met en avant votre pathos et demande une considération spéciale. ,80,,0,"Cette note décidera probablement de mon entrée en faculté, monsieur le professeur. ",83,,,,,,,,,,circle,,,
794,6.1.3.1.1.2,6,,,,Restriction mentale,19,,,0,https://fr.wikipedia.org/wiki/Restriction_mentale,,"Votre argument vise à laisser croire à une contre-vérité. Vous énoncez la thèse de votre adversaire, mais vous changez la signification des mots dans votre tête. ",162,,0," François d'Assise, qui venait de voir un voleur, aurait déclaré à des personnes qui le poursuivaient : « Il n'est pas passé par ici », en même temps qu'il faisait glisser son doigt dans sa manche.",197,,,,,,,,,,circle,,,
795,6.1.3.1.1.2.1,7,,,,Ne pas en dire trop,19,,,0,https://en.wikipedia.org/wiki/Economical_with_the_truth,,"Votre argument vise révéler le moins possible de la vérité, sans pour autant être un mensonge. ",95,,0,"Oui, la France est bien intervenue au Pakistan. ",48,,,,,,,Truth is the most valuable thing we have. Let us economise it,,,circle,,,
796,6.1.3.1.1.2.2,7,,,,Mensonge par omission,21,,,0,https://fr.wikipedia.org/wiki/Mensonge#Cas_du_mensonge_par_omission,,Votre argument omet de préciser des faits nécessaires pour qu'il soit valide.  ,79,,0,Et vous avez été persécutés dans votre pays ?,45,,,,,,,,,,circle,,,
797,6.1.3.1.1.3,6,,,,Un seul côté,12,,,0,http://www.fallacyfiles.org/onesided.html,,Votre argument présente uniquement les faits nécessaires à votre conclusion. ,77,,0,Les prisons syriennes sont inhumaines. ,39,,,,,,,,,,circle,,,
798,6.1.3.1.1.3.1,7,,,,Ignore la contre-preuve,23,,,0,http://www.bargain-storage.com/uploads/9/8/7/4/9874916/attacking.faulty.reasoning.a.practical.guide.to.fallacyfree.arguments.pdf#page=208,,Votre argument ignore la contre-épreuve. ,41,,0,Tous les signes sont blancs. ,29,,,,,,,,,,circle,,,
799,6.1.3.1.1.3.2,7,,,,Bouc émissaire,14,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/158/Scapegoating,,Votre argument rejette une responsabilité sur un individu ou un groupe. ,72,,0,Il n'y a que des Arabes pour faire une telle horreur. ,54,,,,,,,,,,circle,,,
800,6.1.3.1.1.4,6,,,,Mauvaise foi,12,,,0,https://en.wikipedia.org/wiki/Bad_faith,,Votre argument est de mauvaise foi. ,36,,0,Mon client n'est pas coupable. ,31,,,,,,,,,,circle,,,
801,6.1.3.1.2,5,,,,Pensée sélective,16,,,0,http://skepdic.com/selectiv.html,,Votre argument sélectionne uniquement les faits nécessaires à votre conclusion. ,80,,0,,0,,,,,,,,,,circle,,,
802,6.1.3.1.2.1,6,,,,Argument par la lecture sélective,33,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#selective_reading,,Votre argument vise montrer la faiblesse du plus faible des arguments de votre adversaire. ,91,,0,"Vous dites qu'il faut augmenter les salaires, mais vous savez bien que cela donnerait un coup d'arrêt à l'économie française. ",126,,,,,,,,,,circle,,,
803,6.1.3.1.2.2,6,,,,Omission d'une preuve clé,25,,,0,http://www.bargain-storage.com/uploads/9/8/7/4/9874916/attacking.faulty.reasoning.a.practical.guide.to.fallacyfree.arguments.pdf#page=186,,,0,,0,,0,,,,,,,,,,circle,,,
804,6.1.3.1.2.3,6,,,,Biais de confirmation,21,,,0,http://skepdic.com/confirmbias.html,,Votre argument ne porte que sur ce qui confirme votre thèse et votre croyance. ,79,,0,La Twingo est vraiment un super voiture. Regarde elle est partout. ,67,,,,,,,,,,circle,,,
805,6.1.3.1.2.4,6,,,,Scotomisation,13,,,0,https://fr.wikipedia.org/wiki/Scotomisation,,Votre argument nie des évènement qui vous sont pourtant arrivés. ,65,,0,Je ne me rappelle pas m'être mariée avec toi. ,46,,,,,,,,,,circle,,,
806,6.1.3.1.3,5,,,,Biais de publication,20,,,0,https://fr.wikipedia.org/wiki/Biais_de_publication,,Votre argument est optimiste en ce qu'il fait référence aux expériences scientifiques réussies et non aux expériences échouées. ,128,,0,,0,,,,,,,,,,circle,,,
807,6.1.3.1.3.1,6,,,,Biais du chapeau blanc,22,,,0,https://en.wikipedia.org/wiki/White_hat_bias,,Votre argument est optimiste car il fait référence uniquement aux intentions de l'acteur. ,90,,0,"Oui, nous pouvons le faire car nous le valons bien. ",52,,,,,,,,,,circle,,,
808,6.1.3.1.3.2,6,,,,Effet tiroir,12,,,0,https://fr.wikipedia.org/wiki/Biais_de_publication#Effet_tiroir,,Votre argument est optimiste car il fait référence uniquement aux résultats significatifs. ,91,,0,Nous ne nous attendions pas à une telle efficacité avec ce placebo. ,68,,,,,,,,,,circle,,,
809,6.1.3.2,4,,,,Effet de l'expérimentateur,26,,,0,http://skepdic.com/experimentereffect.html,,Votre argument repose sur l'effet que produit le sujet de l'expérimentation. ,77,,0,Je vais maintenant vous demander de vous mettre à l'aise pour ce test. ,71,,,,,,,,,,circle,,,
810,6.1.3.3,4,,,,Cécité d'inattention,20,,,0,http://skepdic.com/inattentionalblindness.html,,,0,,0,,0,,,,,,,,,,circle,,,
811,6.2,2,ok,1,,Changement de cap,17,,Moving the goalposts,20,,https://en.wikipedia.org/wiki/Moving_the_goalposts,Vous modifiez tacitement et a posteriori l'objectif initial du débat pour ne pas reconnaître votre défaite.,107,Tacitely changing the point of the argument in order to not be defeated.,72,Ce qui me tenait le plus à cœur n'était pas de gagner ce match mais d'offrir un beau spectacle au public.,105,"I didn't mean to win, I just wanted to spend some entertaining time.",68,,,,"You're right, the rich steal more money than the poor. But still we can't keep a whole population idle on welfare.
",,,,circle,,,
812,6.2.1,3,ok,2,Monter la barre,Exigence renforcée,18,Raise the bar,Stronger requirements,21,https://en.wiktionary.org/wiki/raise_the_bar,https://en.wiktionary.org/wiki/raise_the_bar,Vous augmentez vos prétentions à mesure que votre interlocuteur y accède.,73,Raising the requirements when they seem to be met by the opponent.,66,"- Tu ne sais pas conduire.
- Mais voyons, j'ai mon permis de conduire !
- Oui, mais tu n'as jamais su faire un créneau convenablement...",136,"- You can't drive.
-  I have my licence.
- Yes but you cannot drift properly.",77,,,,,,true scotsman,,circle,jouer avec le chat,,
813,6.2.1.1,4,,,,Sophismes d'objection,21,,,0,http://www.ditext.com/fearnside/37.html,,Votre argument présente une absence de choix comme un choix incriticable. ,74,,0,Pierre n'arrivait pas à se décider à accepter l'invitation avant qu'il ne soit trop tard. ,90,,,,,,,,,,circle,,,
814,6.2.1.1.1,5,ok,2,,Solution parfaite,17,Demanding perfection,Nirvana Fallacy,15,http://www.sceptiques.qc.ca/dictionnaire/perfectsolution.html,https://en.wikipedia.org/wiki/Nirvana_fallacy,Vous rejetez toute proposition qui ne suffirait pas à résoudre complètement le problème évoqué.,95,Discarding any solution less than perfect.,42,Je suis opposée au port obligatoire de la ceinture de sécurité car cette mesure n'empêche nullement les accidents de la route.,126,I am against the law requiring that people wear seatbelts since it hasn't eliminated deadly car crashes.,104,,,,,,7.2.2.2 5.1.2.2.5,,circle,,,
815,6.2.1.1.1.1,6,,,,Holisme logique,15,,,0,https://fr.wikipedia.org/wiki/Holisme_logique,,Votre argument suppose qu'une partie de l'univers ne peut être connu que si l'on connaît  l'ensemble de l'univers. ,115,,0,On ne peut pas comprendre les lois du système solaire si l'on ne connait pas la physique des particules élémentaires. ,118,,,,,,,,,,circle,,,
816,6.2.1.1.2,5,,,,La science s'est déjà trompée,29,,,0,http://rationalwiki.org/wiki/Science_was_wrong_before,,Votre argument suppose que les erreurs scientifiques passées préjugent d'erreurs à venir. ,90,,0,"J'aimerais bien te croire sur la montée des eaux de mer, mais les scientifiques viennent de s'apercevoir qu'ils se trompaient dans leurs mesures. ",146,,,,,,,,,,circle,,,
817,6.2.1.1.3,5,,,,Le média s'est déjà trompé,26,,,0,http://rationalwiki.org/wiki/Media_was_wrong_before,,Votre argument suppose que les erreurs scientifiques passées préjugent d'erreurs à venir. ,90,,0,Cela fait trois fois que la chaîne N°4 annonce la guerre avec la Russie. ,73,,,,,,,,,,circle,,,
818,6.2.1.1.4,5,,,,La pendule cassée inverse,25,,,0,http://rationalwiki.org/wiki/Inverse_stopped_clock,,Votre argument laisse entendre qu'une affirmation rationnelle laisse toujours apparaître quelque chose d'irrationnel et dû à la chance.   ,138,,0,Même Gandhi adorait Hitler. ,28,,,,,,,Sometimes even geniuses make mistakes,1.1.1.1.3.1,,circle,,,
819,6.2.1.2,4,,,,Confondre une explication et une excuse,39,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/71/Confusing-an-Explanation-with-an-Excuse,,Votre argument confond explication et justification. ,53,,0,Je n'ai pas fait mes devoirs car je trouve que vous n'aimez pas les enfants. ,77,,,,,,,,,,circle,,,
820,6.2.1.2.1,5,,,,Ne pas légitimer,16,,,0,http://rationalwiki.org/wiki/Sanctioning_the_devil,,Vous refusez de débattre avec votre adversaire pour ne pas lui accorder de légitimité. ,87,,0,Je ne débattrai pas avec ce parti d'extrême-droite. ,52,,,,,,,,,,circle,,,
821,6.2.1.3,4,,,,Une seule preuve,16,,,0,http://rationalwiki.org/wiki/One_single_proof,,Votre argument contraint votre adversaire à prouver son argument par une cause unique. ,87,,0,Comment Hitler aurait-il pu être responsable de la Shoah alors que l'on n'a jamais retrouvé la moindre trace écrite d'un tel ordre administratif ?,146,,,,,,,,,,circle,,,
822,6.2.1.4,4,ok,1,,Renverser la charge de la preuve,32,,Shifting the burden of proof.,29,https://fr.wikipedia.org/wiki/Renverser_la_charge_de_la_preuve_(philosophie),https://en.wikipedia.org/wiki/Philosophical_burden_of_proof#Shifting_the_burden_of_proof,Vous estimez que c'est à la partie adverse de démontrer l'invalidité de votre position.,87,Assuming a proposition to be true until proved false or vice-versa.,67,"Si vous ne pouvez pas me prouver que le monstre du Loch Ness n'existe pas, c'est qu'il existe.",94,That you can't prove that the Loch Ness monster does not exist shows that it does exist.,88,,,,,,,,circle,femme porte un homme assis,,
823,6.2.1.5,4,,,,Les mots compliqués,19,,,0,http://rationalwiki.org/wiki/Big_words,,Votre argument invoque un mot compliqué pour cacher sa faiblesse. ,66,,0,Le monde va à sa ruine à cause du capitalisme. ,47,,,,,,,,,,,,,
824,6.2.1.4.1,5,,,,Prouver la non-existence,24,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/145/Proving-Non-Existence,,,0,,0,,0,,,,,,,,,,circle,,,
825,6.2.2,3,ok,2,Versatilité: ON INVERSERAIT PAS LE TEXT_FR eT LE NOM VULGARISé?,Beurre et argent du beurre,26,,Versatility,11,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/101/Having-Your-Cake,"Vous n'adoptez pas clairement une position, afin qu'il soit impossible de vous prendre en défaut.",97,"You don't commit to any clear point, so that you can never be proven wrong.",75,"Si j'ai par mégarde heurté quelqu'un dans cette assistance, je tiens à lui présenter mes excuses ; j'ai cependant agi en mon âme et conscience.",143,"I apologize if I offended anyone, but I did what I thought was  right.",70,,,,"Although I don't think the system is working, I don't believe in revolution either.",le beurre et l'argent du beurre. / retourner sa veste? /ménager la chèvre et le chou?,,,circle,,,
826,6.2.2.1,4,,,,Ne pas se mouiller,18,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#state,,Votre argument présente une thèse mais ne conclut pas en sa faveur. ,68,,0,"Il y a certainement de plus en plus de personnes électrosensibles, mais aussi de plus en plus d'antennes relais. ",113,,,,,,,,,,circle,,,
827,6.2.2.1.1,5,ok,1,,Langue de bois,14,,Wooden language,15,https://fr.wikipedia.org/wiki/Langue_de_bois,https://en.wikipedia.org/wiki/Wooden_language,Vous évitez de répondre au sujet en énonçant des banalités abstraites qui ne vous engagent en rien.,99,Formulating stereotypical statements that are general enough to be uncommiting.,79,Votre colère est légitime mais il est important que tout le monde se serre la ceinture.,87,"I understand your legitimate anger, but it is important that everybody makes a fair effort.",91,,,Je ne demande que la paix et la prospérité dans le monde.,All I want is peace and prosperity for all.,« la parole a été donnée à l'homme pour cacher sa pensée ».,,,circle,,,
828,6.2.2.1.2,5,,,,Assertion ambigue,17,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#ambig_assertion,,Votre argument est formulé de manière ambiguë. ,47,,0,L'autre jour un chat a dormi dans mon ventre. ,46,Last night I shot a burglar in my pyjamas,,,,,,,,,circle,,,
829,6.2.2.2,4,,,,Donner à boire et à manger,26,,,0,https://fr.wiktionary.org/wiki/il_y_a_A13%A0_boire_et_A13%A0_manger,,Votre argument mélange tout. ,29,,0,"Je me suis garé ici parce que je suis de mauvaise humeur, pressé et presque handicapé. ",87,,,,,,,,,,circle,,,
830,6.2.2.2.1,5,,,,Si par Whisky,13,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/107/If-By-Whiskey,,,0,,0,,0,,,,,,,,,,circle,,,
831,6.2.2.3,4,,,,Démenti non-démenti,19,,,0,https://en.wikipedia.org/wiki/Non-denial_denial,,Votre argument apporte un démenti qui peut être interprété comme un aveu.  ,75,,0,Je n'ai pas eu de relations sexuelles avec cette jeune femme. ,62,"I did not have sexual relations with that woman, Miss Lewinsky",,,,,,,,,circle,,,
832,6.2.2.4,4,,,,Excuses non-excuses,19,,,0,,,Votre argument apporte des excuses qui peuvent être interprétées comme une agression.  ,87,,0,Je n'ai jamais insulté cette idiote. ,37,,,,,,,,,,circle,,,
833,6.2.2.4.1,5,,,,Des erreurs ont été comises,27,,,0,https://en.wikipedia.org/wiki/Mistakes_were_made,,Votre argument vise à évacuer votre propre responsabilité dans les erreurs qui ont été commises. ,97,,0,"Mais dans les années 1960, l'énergie nucléaire était l'énergie du futur. ",73,,,,,,,,,,circle,,,
834,6.2.2.4.2,5,,,,Excuses conditionnées,21,,,0,https://en.wikipedia.org/wiki/Non-apology_apology#The_.22if_apology.22,,"Vous offrez des excuses à votre adversaire à condition qu'il les demande, lui renvoyant ainsi la responsabilité de sa susceptibilité. ",134,,0,Je suis désolé si je vous ai offensé. ,38,,,,,,,,,,circle,,,
835,6.2.2.5,4,ok,2,Rétropédalage,Couverture,10,,Hedging,7,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/102/Hedging,Vous modifiez discrètement votre position pour parer des arguments ou des faits qui la réfutent.,96,Refining a claim to dodge counter evidence and then acting as if the revised claim is the original one.,103,"Je n'ai pas dit que je voulais abandonner ce projet, voyons, mais simplement que j'envisageais d'y travailler différemment.",123,I just said I would change my way of working on this contract. Not that I was giving it up.,91,,,"J'ai dit et redit que je travaillerais à la paix dans ce pays ; il n'est pas question que nous retirions nos troupes unilatéralement.
","I just said I would work towards peace. Unilaterally calling our troops back is unthinkable, of course.",,"liens ad-hoc sauvetage, vrai écossais",,circle,,,
836,6.2.2.5.1,5,,,,Argument post dispute,21,,,0,https://en.wikipedia.org/wiki/Post_disputation_argument,,Vous corrigez la formulation de votre argument après la démonstration de son invalidité par votre adversaire.,109,,0,"Oui, c'est bien ce que je disais. ",34,,,,,,,,,,circle,,,
837,6.2.2.5.2,5,,,,Couvrir ses fesses,18,,,0,https://en.wikipedia.org/wiki/Cover_your_ass,,Vous refusez une quelconque responsabilité éviter de futures accusations. ,74,,0,"Ca ne peut pas être moi, je ne travaille jamais le vendredi soir de 17- à 19h. ",79,,,,,,,,,,circle,,,
838,6.2.2.6,4,,,,Porte de sortie,15,,,0,http://rationalwiki.org/wiki/Escape_hatch,,Vous invoquez l'absence d'argument pour justifier votre argument.   ,68,,0,Qui vient avant ? La poule ? Ou l'oeuf ?,40,,,,,,,,,,circle,,,
839,6.2.2.6.1,5,,,,Où est le mal?,14,,,0,http://rationalwiki.org/wiki/What%27s_the_harm,,Vous argumentez qu'une chose doit être essayer car elle ne fait pas de mal. ,76,,0,Pourquoi interdire la cigarette électronique dans les lieux publics ?,69,,,,,,,,,,circle,,,
840,6.2.2.6.2,5,,,,Départ optionel,15,,,0,http://skepdic.com/opstart.html,,Vous argumentez être capable de faire une chose sans donner de bornes de départ et de fin. ,91,,0,Bien sur que vous avez déjà reçu de mes nouvelles par télékinésie. ,67,,,,,,,,,,circle,,,
841,6.2.3,3,ok,1,Baisser la barre,Exigence relâchée,17,Lower the bar,Weaker demands,14,,https://www.usingenglish.com/reference/idioms/lower+the+bar.html,Vous réduisez vos prétentions à mesure que votre argumentation se heurte à des difficultés.,91,Lowering the requirements when you're argumentation seems to fail to meet them.,79,"Ce n'était certes pas notre meilleur match, mais il a permis à notre équipe de montrer un vrai potentiel.",105,"I admit it was not our best game, but the team showed great potential.",70,,,,"By introducing the Zero-hour contract, we managed to drastically reduce the number of unemployed people.",,,,circle,,,
